time_lookup time_connect time_appconnect time_pretransfer time_redirect timestarttransfer time_total
0.000 0.002 0.302 0.302 0.000 0.340 0.379
0.000 0.002 0.160 0.160 0.000 0.199 0.239
0.000 0.002 0.163 0.163 0.000 0.199 0.239
0.000 0.002 0.163 0.163 0.000 0.201 0.240
0.000 0.002 0.157 0.157 0.000 0.200 0.240
0.000 0.002 0.169 0.169 0.000 0.206 0.246
0.000 0.002 0.160 0.160 0.000 0.196 0.236
0.000 0.005 0.171 0.171 0.000 0.210 0.250
0.000 0.002 0.164 0.164 0.000 0.204 0.244
0.000 0.002 0.161 0.161 0.000 0.204 0.244
0.000 0.002 0.173 0.173 0.000 0.212 0.252
0.000 0.002 0.167 0.167 0.000 0.205 0.245
0.000 0.002 0.164 0.165 0.000 0.207 0.247
0.000 0.002 0.187 0.187 0.000 0.224 0.264
0.000 0.002 0.162 0.162 0.000 0.199 0.239
0.000 0.002 0.180 0.180 0.000 0.215 0.255
0.000 0.002 0.166 0.166 0.000 0.204 0.243
0.000 0.002 0.159 0.159 0.000 0.198 0.238
0.000 0.002 0.160 0.160 0.000 0.199 0.238
0.000 0.002 0.164 0.165 0.000 0.201 0.242
0.000 0.002 0.156 0.156 0.000 0.195 0.195
0.000 0.002 0.161 0.161 0.000 0.200 0.239
0.000 0.002 0.170 0.170 0.000 0.205 0.245
0.000 0.002 0.152 0.152 0.000 0.189 0.189
0.000 0.002 0.159 0.159 0.000 0.195 0.195
0.000 0.002 0.170 0.170 0.000 0.206 0.206
0.000 0.002 0.159 0.159 0.000 0.196 0.196
0.000 0.002 0.158 0.158 0.000 0.192 0.192
0.000 0.002 0.162 0.163 0.000 0.198 0.199
0.000 0.002 0.154 0.154 0.000 0.189 0.189
0.000 0.002 0.159 0.159 0.000 0.202 0.202
0.000 0.002 0.172 0.172 0.000 0.209 0.209
0.000 0.002 0.154 0.154 0.000 0.191 0.191
0.000 0.002 0.158 0.158 0.000 0.195 0.195
0.000 0.002 0.164 0.164 0.000 0.199 0.199
0.000 0.002 0.158 0.159 0.000 0.196 0.196
0.000 0.002 0.164 0.164 0.000 0.200 0.200
0.000 0.002 0.162 0.162 0.000 0.199 0.199
0.000 0.002 0.158 0.158 0.000 0.196 0.196
0.000 0.002 0.162 0.163 0.000 0.209 0.209
0.000 0.002 0.162 0.162 0.000 0.198 0.198
0.000 0.002 0.151 0.151 0.000 0.185 0.185
0.000 0.002 0.155 0.155 0.000 0.190 0.190
0.000 0.002 0.154 0.154 0.000 0.193 0.193
0.000 0.002 0.170 0.170 0.000 0.207 0.207
0.000 0.002 0.156 0.156 0.000 0.190 0.190
0.000 0.002 0.154 0.154 0.000 0.193 0.193
0.000 0.002 0.160 0.160 0.000 0.197 0.197
0.000 0.002 0.162 0.162 0.000 0.198 0.198
0.000 0.002 0.159 0.159 0.000 0.202 0.203
0.000 0.002 0.155 0.155 0.000 0.190 0.190
0.000 0.002 0.154 0.154 0.000 0.189 0.189
0.000 0.002 0.156 0.156 0.000 0.194 0.194
0.000 0.002 0.159 0.159 0.000 0.193 0.193
0.000 0.002 0.158 0.158 0.000 0.200 0.200
0.000 0.002 0.157 0.157 0.000 0.202 0.202
0.000 0.002 0.159 0.159 0.000 0.195 0.235
0.000 0.002 0.160 0.160 0.000 0.196 0.196
0.000 0.002 0.159 0.159 0.000 0.198 0.198
0.000 0.002 0.157 0.157 0.000 0.193 0.193
0.000 0.002 0.159 0.159 0.000 0.196 0.196
0.000 0.002 0.159 0.159 0.000 0.192 0.192
0.000 0.003 0.161 0.161 0.000 0.196 0.197
0.000 0.002 0.161 0.161 0.000 0.197 0.198
0.000 0.002 0.173 0.173 0.000 0.209 0.209
0.000 0.002 0.155 0.155 0.000 0.191 0.191
0.000 0.002 0.160 0.161 0.000 0.194 0.194
0.000 0.003 0.161 0.161 0.000 0.195 0.195
0.000 0.002 0.163 0.163 0.000 0.198 0.198
0.000 0.002 0.154 0.154 0.000 0.191 0.191
0.000 0.002 0.151 0.151 0.000 0.186 0.186
0.000 0.002 0.164 0.164 0.000 0.198 0.198
0.000 0.002 0.181 0.181 0.000 0.217 0.217
0.000 0.002 0.156 0.156 0.000 0.194 0.194
0.000 0.002 0.156 0.156 0.000 0.196 0.196
0.000 0.002 0.160 0.160 0.000 0.196 0.196
0.000 0.002 0.165 0.165 0.000 0.199 0.200
0.000 0.002 0.159 0.159 0.000 0.198 0.198
0.000 0.002 0.151 0.151 0.000 0.191 0.191
0.000 0.002 0.161 0.161 0.000 0.197 0.198
0.000 0.002 0.159 0.159 0.000 0.195 0.196
0.000 0.002 0.158 0.158 0.000 0.197 0.197
0.000 0.002 0.164 0.165 0.000 0.202 0.202
0.000 0.002 0.156 0.156 0.000 0.196 0.196
0.000 0.002 0.158 0.159 0.000 0.196 0.197
0.000 0.002 0.155 0.155 0.000 0.196 0.196
0.000 0.002 0.162 0.162 0.000 0.199 0.199
0.000 0.002 0.167 0.167 0.000 0.202 0.202
0.000 0.002 0.159 0.159 0.000 0.197 0.197
0.000 0.002 0.172 0.173 0.000 0.210 0.210
0.000 0.002 0.150 0.150 0.000 0.190 0.190
0.000 0.002 0.160 0.160 0.000 0.359 0.359
0.000 0.002 0.156 0.156 0.000 0.194 0.194
0.000 0.002 0.152 0.152 0.000 0.189 0.190
0.000 0.002 0.160 0.160 0.000 0.244 0.284
0.000 0.002 0.158 0.158 0.000 0.191 0.192
0.000 0.002 0.160 0.160 0.000 0.202 0.203
0.000 0.002 0.167 0.167 0.000 0.205 0.206
0.000 0.002 0.159 0.159 0.000 0.196 0.196
